iter	Passed	Remaining
461	20659	24057
462	20701	24009
463	20746	23965
464	20801	23933
465	20858	23902
466	20904	23858
467	20936	23799
468	20971	23743
469	21010	23692
470	21066	23660
471	21118	23623
472	21170	23587
473	21220	23548
474	21260	23498
475	21307	23456
476	21351	23410
477	21390	23359
478	21436	23315
479	21487	23278
480	21535	23236
481	21591	23203
482	21638	23161
483	21679	23112
484	21714	23057
485	21775	23030
486	21823	22988
487	21877	22953
488	21936	22923
489	21983	22881
490	22023	22831
491	22060	22778
492	22124	22752
493	22180	22719
494	22227	22676
495	22276	22636
496	22312	22582
497	22348	22527
498	22394	22484
499	22431	22431
500	22490	22400
501	22551	22371
502	22602	22333
503	22643	22284
504	22681	22232
505	22724	22185
506	22759	22131
507	22796	22078
508	22842	22034
509	22889	21992
510	22947	21959
511	22987	21909
512	23028	21861
513	23070	21813
514	23099	21753
515	23142	21707
516	23199	21673
517	23249	21633
518	23284	21579
519	23326	21531
520	23372	21488
521	23410	21436
522	23454	21391
523	23508	21354
524	23556	21312
525	23601	21268
526	23640	21217
527	23682	21170
528	23749	21145
529	23792	21098
530	23834	21051
531	23889	21015
532	23936	20972
533	23985	20931
534	24028	20884
535	24064	20831
536	24102	20781
537	24142	20731
538	24196	20695
539	24248	20655
540	24333	20644
541	24396	20615
542	24438	20568
543	24479	20519
544	24509	20462
545	24552	20415
546	24603	20375
547	24649	20331
548	24698	20289
549	24740	20242
550	24801	20209
551	24849	20167
552	24887	20116
553	24923	20064
554	24962	20014
555	24996	19961
556	25052	19925
557	25097	19880
558	25144	19836
559	25186	19789
560	25222	19737
561	25264	19690
562	25308	19644
563	25351	19597
564	25403	19558
565	25444	19510
566	25479	19457
567	25526	19414
568	25568	19367
569	25607	19317
570	25638	19262
571	25669	19207
572	25715	19163
573	25761	19118
574	25808	19075
575	25866	19040
576	25915	18998
577	25961	18954
578	26008	18910
579	26057	18868
580	26093	18818
581	26130	18767
582	26165	18715
583	26215	18674
584	26264	18632
585	26307	18585
586	26346	18537
587	26386	18488
588	26422	18437
589	26470	18395
590	26518	18352
591	26569	18311
592	26609	18263
593	26647	18213
594	26678	18159
595	26721	18113
596	26762	18065
597	26820	18029
598	26869	17987
599	26905	17937
600	26953	17894
601	27008	17856
602	27054	17812
603	27092	17762
604	27137	17718
605	27170	17665
606	27220	17624
607	27264	17578
608	27308	17532
609	27344	17482
610	27385	17435
611	27423	17385
612	27460	17336
613	27503	17290
614	27542	17242
615	27590	17199
616	27634	17154
617	27687	17114
618	27736	17072
619	27773	17022
620	27816	16976
621	27854	16927
622	27896	16881
623	27945	16839
624	27990	16794
625	28026	16744
626	28062	16694
627	28095	16642
628	28130	16591
629	28168	16543
630	28217	16501
631	28263	16456
632	28312	16415
633	28353	16367
634	28393	16320
635	28442	16278
636	28488	16234
637	28531	16188
638	28565	16138
639	28604	16089
640	28660	16051
641	28709	16009
642	28748	15961
643	28782	15910
644	28830	15867
645	28866	15818
646	28905	15770
647	28958	15730
648	29020	15695
649	29067	15651
650	29112	15607
651	29153	15560
652	29191	15512
653	29221	15459
654	29261	15412
655	29310	15370
656	29360	15328
657	29412	15287
658	29452	15240
659	29489	15191
660	29532	15145
661	29573	15099
662	29640	15066
663	29688	15023
664	29736	14979
665	29781	14935
666	29827	14891
667	29873	14847
668	29926	14806
669	29971	14762
670	30039	14728
671	30108	14695
672	30146	14647
673	30184	14599
674	30226	14553
675	30270	14508
676	30319	14465
677	30375	14426
678	30414	14378
679	30460	14334
680	30507	14290
681	30549	14244
682	30587	14196
683	30618	14145
684	30652	14095
685	30697	14050
686	30747	14008
687	30793	13964
688	30833	13917
689	30874	13871
690	30920	13827
691	30957	13778
692	31000	13733
693	31049	13690
694	31102	13649
695	31146	13604
696	31180	13554
697	31215	13505
698	31259	13460
699	31299	13413
700	31338	13366
701	31394	13327
702	31449	13286
703	31508	13247
704	31556	13204
705	31596	13157
706	31628	13107
707	31665	13059
708	31712	13016
709	31756	12971
710	31806	12928
711	31851	12883
712	31888	12835
713	31936	12792
714	31983	12748
715	32024	12702
716	32055	12652
717	32096	12605
718	32129	12557
719	32169	12510
720	32213	12465
721	32249	12417
722	32287	12370
723	32324	12322
724	32361	12275
725	32401	12228
726	32440	12182
727	32488	12138
728	32534	12094
729	32582	12051
730	32629	12007
731	32677	11963
732	32719	11918
733	32754	11870
734	32791	11822
735	32824	11774
736	32862	11726
737	32904	11681
738	32951	11637
739	32993	11592
740	33034	11546
741	33070	11498
742	33107	11451
743	33149	11406
744	33186	11359
745	33231	11314
746	33287	11274
747	33343	11233
748	33386	11188
749	33435	11145
750	33473	11098
751	33520	11054
752	33556	11007
753	33588	10958
754	33634	10914
755	33691	10873
756	33740	10830
757	33790	10787
758	33843	10745
759	33881	10699
760	33918	10652
761	33955	10605
762	33994	10559
763	34039	10514
764	34086	10471
765	34135	10427
766	34176	10382
767	34219	10337
768	34258	10290
769	34304	10246
770	34356	10204
771	34412	10163
772	34474	10123
773	34523	10080
774	34564	10034
775	34608	9989
776	34657	9946
777	34699	9901
778	34745	9857
779	34801	9815
780	34875	9779
781	34929	9737
782	34972	9692
783	35005	9644
784	35039	9596
785	35080	9551
786	35122	9505
787	35169	9461
788	35217	9418
789	35272	9376
790	35318	9332
791	35372	9289
792	35414	9244
793	35449	9197
794	35493	9152
795	35532	9106
796	35572	9060
797	35620	9016
798	35667	8972
799	35712	8928
800	35756	8883
801	35787	8835
802	35831	8790
803	35869	8744
804	35911	8699
805	35960	8655
806	36005	8610
807	36054	8567
808	36090	8520
809	36125	8473
810	36168	8428
811	36204	8382
812	36244	8336
813	36303	8295
814	36359	8253
815	36404	8208
816	36445	8163
817	36485	8117
818	36531	8073
819	36578	8029
820	36643	7989
821	36689	7944
822	36730	7899
823	36782	7856
824	36818	7809
825	36851	7762
826	36890	7717
827	36929	7671
828	36981	7628
829	37037	7586
830	37081	7541
831	37120	7495
832	37163	7450
833	37203	7405
834	37246	7360
835	37290	7315
836	37344	7272
837	37398	7229
838	37449	7186
839	37486	7140
840	37522	7094
841	37562	7048
842	37600	7002
843	37636	6956
844	37678	6911
845	37726	6867
846	37770	6822
847	37803	6776
848	37843	6730
849	37883	6685
850	37924	6640
851	37962	6594
852	38000	6548
853	38051	6505
854	38100	6461
855	38156	6418
856	38196	6373
857	38234	6327
858	38275	6282
859	38311	6236
860	38340	6189
861	38375	6143
862	38416	6098
863	38465	6054
864	38512	6010
865	38565	5967
866	38602	5921
867	38646	5877
868	38693	5832
869	38746	5789
870	38797	5746
871	38875	5706
872	38929	5663
873	38973	5618
874	39014	5573
875	39053	5528
876	39086	5481
877	39122	5436
878	39153	5389
879	39187	5343
880	39227	5298
881	39262	5252
882	39306	5208
883	39343	5162
884	39385	5117
885	39427	5073
886	39464	5027
887	39524	4985
888	39572	4940
889	39617	4896
890	39664	4852
891	39705	4807
892	39754	4763
893	39790	4717
894	39831	4672
895	39873	4628
896	39913	4583
897	39961	4539
898	40007	4494
899	40063	4451
900	40103	4406
901	40149	4362
902	40190	4317
903	40229	4272
904	40270	4227
905	40307	4182
906	40360	4138
907	40411	4094
908	40450	4049
909	40499	4005
910	40545	3961
911	40584	3916
912	40622	3870
913	40681	3827
914	40749	3785
915	40809	3742
916	40865	3698
917	40910	3654
918	40952	3609
919	40988	3564
920	41021	3518
921	41060	3473
922	41102	3428
923	41145	3384
924	41192	3339
925	41233	3295
926	41270	3250
927	41303	3204
928	41342	3159
929	41375	3114
930	41425	3070
931	41481	3026
932	41525	2982
933	41574	2937
934	41616	2893
935	41653	2848
936	41687	2802
937	41724	2757
938	41760	2712
939	41806	2668
940	41862	2624
941	41921	2581
942	41963	2536
943	41999	2491
944	42032	2446
945	42067	2401
946	42109	2356
947	42167	2313
948	42207	2268
949	42255	2223
950	42304	2179
951	42342	2134
952	42375	2089
953	42411	2045
954	42454	2000
955	42494	1955
956	42546	1911
957	42600	1867
958	42631	1822
959	42670	1777
960	42708	1733
961	42754	1688
962	42797	1644
963	42851	1600
964	42904	1556
965	42954	1511
966	42998	1467
967	43039	1422
968	43088	1378
969	43141	1334
970	43172	1289
971	43223	1245
972	43265	1200
973	43308	1156
974	43349	1111
975	43394	1067
976	43427	1022
977	43470	977
978	43500	933
979	43551	888
980	43597	844
981	43640	799
982	43684	755
983	43720	710
984	43761	666
985	43797	621
986	43850	577
987	43895	533
988	43932	488
989	43988	444
990	44029	399
991	44064	355
992	44109	310
993	44145	266
994	44191	222
995	44231	177
996	44283	133
997	44320	88
998	44363	44
999	44408	0
